match_id,league,kickoff_utc,decision_time,home_team_id,away_team_id,total_goals,y_over_2_5,n_train_matches,p_over_2_5_A0_flat,p_over_2_5_A1_halflife_30d,p_over_2_5_A2_halflife_60d,p_over_2_5_A3_halflife_90d,p_over_2_5_A4_halflife_180d,p_over_2_5_A5_halflife_365d,competition
28115,Ligue_1,2024-10-20 13:00:00,2024-10-20 11:00:00,282,178,4,1.0,67,0.6829886939469225,0.6352208960396647,0.6565785291002945,0.664990487248382,0.6738455612691527,0.6784540705745724,ligue1
28113,Ligue_1,2024-10-20 15:00:00,2024-10-20 13:00:00,275,177,3,1.0,67,0.818369443952518,0.8906639456624242,0.8583592443269895,0.8458644637925558,0.8325218326099783,0.825446691373904,ligue1
28114,Ligue_1,2024-10-20 15:00:00,2024-10-20 13:00:00,174,167,2,0.0,67,0.3444998102786343,0.42235475487141877,0.38766466548833284,0.3741676047305647,0.35975664274772357,0.35212418152491226,ligue1
28116,Ligue_1,2024-10-20 15:00:00,2024-10-20 13:00:00,168,170,2,0.0,67,0.5162860535914049,0.5543796843568602,0.5411189167294347,0.5341168894001436,0.5258289854285256,0.5211462908966622,ligue1
28112,Ligue_1,2024-10-20 18:45:00,2024-10-20 16:45:00,166,164,5,1.0,68,0.9155090649446415,0.8652018012907198,0.8916994207010079,0.8999886349821841,0.9079377559475034,0.9118246959644902,ligue1
28123,Ligue_1,2024-10-25 18:45:00,2024-10-25 16:45:00,163,282,1,0.0,72,0.7172234745673168,0.6266609697346202,0.6766051568895899,0.6912115806030352,0.7047455566199892,0.7111998614740203,ligue1
28121,Ligue_1,2024-10-26 15:00:00,2024-10-26 13:00:00,167,175,6,1.0,73,0.4290416579237591,0.5062684202733434,0.4833390211529074,0.4687194701596931,0.4505751205033213,0.44007100297205465,ligue1
28122,Ligue_1,2024-10-26 17:00:00,2024-10-26 15:00:00,177,241,3,1.0,73,0.7673392998103046,0.6998503157788869,0.7381378683580024,0.7490267072562387,0.7587848129021988,0.7632744554598591,ligue1
28120,Ligue_1,2024-10-26 19:00:00,2024-10-26 17:00:00,210,160,2,0.0,74,0.17764243148015127,0.1711511220496553,0.1802419426851464,0.1806455506771026,0.1797592741153032,0.1788354270122592,ligue1
28126,Ligue_1,2024-10-27 14:00:00,2024-10-27 12:00:00,178,275,4,1.0,76,0.78018166673862,0.7831333324049732,0.7889542248757873,0.7876370266229133,0.7846989635945589,0.7826030374524414,ligue1
28124,Ligue_1,2024-10-27 16:00:00,2024-10-27 14:00:00,166,174,3,1.0,76,0.5652030978590391,0.6182234493334868,0.5982147750816955,0.5887176466720082,0.5777123857276093,0.5715580045271521,ligue1
28125,Ligue_1,2024-10-27 16:00:00,2024-10-27 14:00:00,225,168,4,1.0,76,0.6641467456703197,0.6904847081300628,0.6846622604559877,0.6796308673435593,0.6728246302976013,0.668664905652632,ligue1
28128,Ligue_1,2024-10-27 16:00:00,2024-10-27 14:00:00,170,171,3,1.0,76,0.30624717034506804,0.23918077059342716,0.2793259584609612,0.29003620677587205,0.2990520656652919,0.30293168690219263,ligue1
28127,Ligue_1,2024-10-27 19:45:00,2024-10-27 17:45:00,164,161,3,1.0,77,0.776594105987666,0.7418548775198734,0.7553578610369238,0.7617113693574973,0.7688351356356156,0.7726976300478243,ligue1
28129,Ligue_1,2024-11-01 18:00:00,2024-11-01 16:00:00,171,167,1,0.0,81,0.514646141619888,0.4815907352533101,0.4989828098722035,0.504938879607812,0.5102960404380406,0.5126512076406265,ligue1
28136,Ligue_1,2024-11-01 20:00:00,2024-11-01 18:00:00,160,178,2,0.0,81,0.5759521690457317,0.4256287610276491,0.5061742612386753,0.5310598499920075,0.5544029865033231,0.5655624209724227,ligue1
28130,Ligue_1,2024-11-02 16:00:00,2024-11-02 14:00:00,161,210,1,0.0,83,0.36790643898628855,0.4162519426333566,0.3959690070282001,0.38753434688423916,0.3781860828213183,0.37309228888590634,ligue1
28134,Ligue_1,2024-11-02 18:00:00,2024-11-02 16:00:00,241,170,1,0.0,83,0.6383057220115261,0.4785241471419932,0.5565071615826223,0.5840104785354822,0.6114480386133426,0.6251645078916168,ligue1
28137,Ligue_1,2024-11-02 20:00:00,2024-11-02 18:00:00,175,225,2,0.0,84,0.8773462492645924,0.927384806049303,0.9067163453631154,0.8980309266619889,0.8882709349386546,0.8828842267922833,ligue1
